frames,d_x,d_y,d_t,cd_x,cd_y,cd_t,seconds
1,1.0,0.0,1.0,1.0,0.0,1.0,0.1
2,0.0,0.0,0.0,1.0,0.0,1.0,0.2
3,0.0,0.0,0.0,1.0,0.0,1.0,0.3
4,0.0,0.0,0.0,1.0,0.0,1.0,0.4
5,0.0,0.0,0.0,1.0,0.0,1.0,0.5
6,1.0,0.0,1.0,2.0,0.0,2.0,0.6
7,0.0,0.0,0.0,2.0,0.0,2.0,0.7
8,0.0,0.0,0.0,2.0,0.0,2.0,0.8
9,0.0,1.0,1.0,2.0,1.0,3.0,0.9
10,0.0,1.0,1.0,2.0,2.0,4.0,1.0
11,0.0,0.0,0.0,2.0,2.0,4.0,1.1
12,1.0,0.0,1.0,3.0,2.0,5.0,1.2
13,1.0,1.0,1.4142135623730951,4.0,3.0,6.414213562373095,1.3
14,0.0,1.0,1.0,4.0,4.0,7.414213562373095,1.4
15,0.0,0.0,0.0,4.0,4.0,7.414213562373095,1.5
16,0.0,0.0,0.0,4.0,4.0,7.414213562373095,1.6
17,0.0,0.0,0.0,4.0,4.0,7.414213562373095,1.7
18,0.0,0.0,0.0,4.0,4.0,7.414213562373095,1.8
19,0.0,0.0,0.0,4.0,4.0,7.414213562373095,1.9
20,0.0,0.0,0.0,4.0,4.0,7.414213562373095,2.0
21,0.0,0.0,0.0,4.0,4.0,7.414213562373095,2.1
22,0.0,0.0,0.0,4.0,4.0,7.414213562373095,2.2
23,0.0,0.0,0.0,4.0,4.0,7.414213562373095,2.3
24,0.0,0.0,0.0,4.0,4.0,7.414213562373095,2.4
25,0.0,0.0,0.0,4.0,4.0,7.414213562373095,2.5
26,0.0,0.0,0.0,4.0,4.0,7.414213562373095,2.6
27,0.0,0.0,0.0,4.0,4.0,7.414213562373095,2.7
28,0.0,1.0,1.0,4.0,5.0,8.414213562373096,2.8
29,0.0,0.0,0.0,4.0,5.0,8.414213562373096,2.9
30,0.0,0.0,0.0,4.0,5.0,8.414213562373096,3.0
31,0.0,0.0,0.0,4.0,5.0,8.414213562373096,3.1
32,0.0,0.0,0.0,4.0,5.0,8.414213562373096,3.2
33,0.0,0.0,0.0,4.0,5.0,8.414213562373096,3.3
34,1.0,0.0,1.0,5.0,5.0,9.414213562373096,3.4
35,0.0,0.0,0.0,5.0,5.0,9.414213562373096,3.5
36,0.0,1.0,1.0,5.0,6.0,10.414213562373096,3.6
37,0.0,1.0,1.0,5.0,7.0,11.414213562373096,3.7
38,0.0,0.0,0.0,5.0,7.0,11.414213562373096,3.8
39,0.0,0.0,0.0,5.0,7.0,11.414213562373096,3.9
40,1.0,1.0,1.4142135623730951,6.0,8.0,12.828427124746192,4.0
41,1.0,0.0,1.0,7.0,8.0,13.828427124746192,4.1
42,0.0,0.0,0.0,7.0,8.0,13.828427124746192,4.2
43,0.0,0.0,0.0,7.0,8.0,13.828427124746192,4.3
44,0.0,0.0,0.0,7.0,8.0,13.828427124746192,4.4
45,0.0,0.0,0.0,7.0,8.0,13.828427124746192,4.5
46,0.0,0.0,0.0,7.0,8.0,13.828427124746192,4.6
47,0.0,1.0,1.0,7.0,9.0,14.828427124746192,4.7
48,1.0,0.0,1.0,8.0,9.0,15.828427124746192,4.8
49,0.0,1.0,1.0,8.0,10.0,16.82842712474619,4.9
50,0.0,0.0,0.0,8.0,10.0,16.82842712474619,5.0
51,0.0,1.0,1.0,8.0,11.0,17.82842712474619,5.1
52,1.0,0.0,1.0,9.0,11.0,18.82842712474619,5.2
53,0.0,0.0,0.0,9.0,11.0,18.82842712474619,5.3
54,0.0,1.0,1.0,9.0,12.0,19.82842712474619,5.4
55,0.0,1.0,1.0,9.0,13.0,20.82842712474619,5.5
56,0.0,0.0,0.0,9.0,13.0,20.82842712474619,5.6
57,1.0,1.0,1.4142135623730951,10.0,14.0,22.242640687119287,5.7
58,0.0,0.0,0.0,10.0,14.0,22.242640687119287,5.8
59,0.0,0.0,0.0,10.0,14.0,22.242640687119287,5.9
60,1.0,1.0,1.4142135623730951,11.0,15.0,23.656854249492383,6.0
61,1.0,0.0,1.0,12.0,15.0,24.656854249492383,6.1
62,1.0,1.0,1.4142135623730951,13.0,16.0,26.07106781186548,6.2
63,0.0,1.0,1.0,13.0,17.0,27.07106781186548,6.3
64,0.0,0.0,0.0,13.0,17.0,27.07106781186548,6.4
65,0.0,1.0,1.0,13.0,18.0,28.07106781186548,6.5
66,0.0,1.0,1.0,13.0,19.0,29.07106781186548,6.6
67,0.0,0.0,0.0,13.0,19.0,29.07106781186548,6.7
68,1.0,0.0,1.0,14.0,19.0,30.07106781186548,6.8
69,0.0,1.0,1.0,14.0,20.0,31.07106781186548,6.9
70,0.0,0.0,0.0,14.0,20.0,31.07106781186548,7.0
71,1.0,0.0,1.0,15.0,20.0,32.071067811865476,7.1
72,1.0,0.0,1.0,16.0,20.0,33.071067811865476,7.2
73,1.0,1.0,1.4142135623730951,17.0,21.0,34.48528137423857,7.3
74,0.0,0.0,0.0,17.0,21.0,34.48528137423857,7.4
75,0.0,0.0,0.0,17.0,21.0,34.48528137423857,7.5
76,0.0,0.0,0.0,17.0,21.0,34.48528137423857,7.6
77,0.0,0.0,0.0,17.0,21.0,34.48528137423857,7.7
78,0.0,0.0,0.0,17.0,21.0,34.48528137423857,7.8
79,1.0,0.0,1.0,18.0,21.0,35.48528137423857,7.9
80,0.0,0.0,0.0,18.0,21.0,35.48528137423857,8.0
81,1.0,1.0,1.4142135623730951,19.0,22.0,36.89949493661166,8.1
82,0.0,0.0,0.0,19.0,22.0,36.89949493661166,8.2
83,0.0,0.0,0.0,19.0,22.0,36.89949493661166,8.3
84,0.0,0.0,0.0,19.0,22.0,36.89949493661166,8.4
85,0.0,0.0,0.0,19.0,22.0,36.89949493661166,8.5
86,0.0,0.0,0.0,19.0,22.0,36.89949493661166,8.6
87,0.0,0.0,0.0,19.0,22.0,36.89949493661166,8.7
88,0.0,0.0,0.0,19.0,22.0,36.89949493661166,8.8
89,0.0,0.0,0.0,19.0,22.0,36.89949493661166,8.9
90,0.0,0.0,0.0,19.0,22.0,36.89949493661166,9.0
91,0.0,1.0,1.0,19.0,23.0,37.89949493661166,9.1
92,1.0,1.0,1.4142135623730951,20.0,24.0,39.31370849898475,9.2
93,1.0,1.0,1.4142135623730951,21.0,25.0,40.727922061357845,9.3
94,0.0,1.0,1.0,21.0,26.0,41.727922061357845,9.4
95,1.0,0.0,1.0,22.0,26.0,42.727922061357845,9.5
96,1.0,0.0,1.0,23.0,26.0,43.727922061357845,9.6
97,1.0,0.0,1.0,24.0,26.0,44.727922061357845,9.7
98,0.0,0.0,0.0,24.0,26.0,44.727922061357845,9.8
99,0.0,0.0,0.0,24.0,26.0,44.727922061357845,9.9
100,0.0,0.0,0.0,24.0,26.0,44.727922061357845,10.0
101,0.0,1.0,1.0,24.0,27.0,45.727922061357845,10.1
102,0.0,0.0,0.0,24.0,27.0,45.727922061357845,10.2
103,0.0,1.0,1.0,24.0,28.0,46.727922061357845,10.3
104,1.0,0.0,1.0,25.0,28.0,47.727922061357845,10.4
105,1.0,0.0,1.0,26.0,28.0,48.727922061357845,10.5
106,0.0,0.0,0.0,26.0,28.0,48.727922061357845,10.6
107,0.0,0.0,0.0,26.0,28.0,48.727922061357845,10.7
108,0.0,0.0,0.0,26.0,28.0,48.727922061357845,10.8
109,1.0,1.0,1.4142135623730951,27.0,29.0,50.14213562373094,10.9
110,0.0,0.0,0.0,27.0,29.0,50.14213562373094,11.0
111,0.0,0.0,0.0,27.0,29.0,50.14213562373094,11.1
112,0.0,0.0,0.0,27.0,29.0,50.14213562373094,11.2
113,0.0,0.0,0.0,27.0,29.0,50.14213562373094,11.3
114,0.0,1.0,1.0,27.0,30.0,51.14213562373094,11.4
115,0.0,1.0,1.0,27.0,31.0,52.14213562373094,11.5
116,0.0,0.0,0.0,27.0,31.0,52.14213562373094,11.6
117,0.0,1.0,1.0,27.0,32.0,53.14213562373094,11.7
118,0.0,1.0,1.0,27.0,33.0,54.14213562373094,11.8
119,0.0,0.0,0.0,27.0,33.0,54.14213562373094,11.9
120,1.0,0.0,1.0,28.0,33.0,55.14213562373094,12.0
121,1.0,0.0,1.0,29.0,33.0,56.14213562373094,12.1
122,0.0,0.0,0.0,29.0,33.0,56.14213562373094,12.2
123,0.0,1.0,1.0,29.0,34.0,57.14213562373094,12.3
124,0.0,0.0,0.0,29.0,34.0,57.14213562373094,12.4
125,0.0,0.0,0.0,29.0,34.0,57.14213562373094,12.5
126,0.0,0.0,0.0,29.0,34.0,57.14213562373094,12.6
127,0.0,0.0,0.0,29.0,34.0,57.14213562373094,12.7
128,0.0,0.0,0.0,29.0,34.0,57.14213562373094,12.8
129,0.0,0.0,0.0,29.0,34.0,57.14213562373094,12.9
130,0.0,0.0,0.0,29.0,34.0,57.14213562373094,13.0
131,0.0,0.0,0.0,29.0,34.0,57.14213562373094,13.1
132,1.0,1.0,1.4142135623730951,30.0,35.0,58.55634918610403,13.2
133,0.0,0.0,0.0,30.0,35.0,58.55634918610403,13.3
134,1.0,0.0,1.0,31.0,35.0,59.55634918610403,13.4
135,0.0,0.0,0.0,31.0,35.0,59.55634918610403,13.5
136,0.0,0.0,0.0,31.0,35.0,59.55634918610403,13.6
137,1.0,0.0,1.0,32.0,35.0,60.55634918610403,13.7
138,0.0,0.0,0.0,32.0,35.0,60.55634918610403,13.8
139,0.0,0.0,0.0,32.0,35.0,60.55634918610403,13.9
140,0.0,0.0,0.0,32.0,35.0,60.55634918610403,14.0
141,0.0,0.0,0.0,32.0,35.0,60.55634918610403,14.1
142,0.0,0.0,0.0,32.0,35.0,60.55634918610403,14.2
143,0.0,0.0,0.0,32.0,35.0,60.55634918610403,14.3
144,0.0,0.0,0.0,32.0,35.0,60.55634918610403,14.4
145,0.0,0.0,0.0,32.0,35.0,60.55634918610403,14.5
146,0.0,0.0,0.0,32.0,35.0,60.55634918610403,14.6
147,0.0,0.0,0.0,32.0,35.0,60.55634918610403,14.7
148,0.0,0.0,0.0,32.0,35.0,60.55634918610403,14.8
149,0.0,0.0,0.0,32.0,35.0,60.55634918610403,14.9
150,0.0,0.0,0.0,32.0,35.0,60.55634918610403,15.0
151,0.0,1.0,1.0,32.0,36.0,61.55634918610403,15.1
152,0.0,1.0,1.0,32.0,37.0,62.55634918610403,15.2
153,0.0,0.0,0.0,32.0,37.0,62.55634918610403,15.3
154,0.0,0.0,0.0,32.0,37.0,62.55634918610403,15.4
155,0.0,0.0,0.0,32.0,37.0,62.55634918610403,15.5
156,0.0,0.0,0.0,32.0,37.0,62.55634918610403,15.6
157,1.0,0.0,1.0,33.0,37.0,63.55634918610403,15.7
158,0.0,0.0,0.0,33.0,37.0,63.55634918610403,15.8
159,0.0,1.0,1.0,33.0,38.0,64.55634918610403,15.9
160,0.0,0.0,0.0,33.0,38.0,64.55634918610403,16.0
161,0.0,0.0,0.0,33.0,38.0,64.55634918610403,16.1
162,0.0,0.0,0.0,33.0,38.0,64.55634918610403,16.2
163,1.0,0.0,1.0,34.0,38.0,65.55634918610403,16.3
164,1.0,1.0,1.4142135623730951,35.0,39.0,66.97056274847712,16.4
165,0.0,0.0,0.0,35.0,39.0,66.97056274847712,16.5
166,0.0,0.0,0.0,35.0,39.0,66.97056274847712,16.6
167,1.0,0.0,1.0,36.0,39.0,67.97056274847712,16.7
168,0.0,1.0,1.0,36.0,40.0,68.97056274847712,16.8
169,0.0,0.0,0.0,36.0,40.0,68.97056274847712,16.9
170,1.0,1.0,1.4142135623730951,37.0,41.0,70.38477631085021,17.0
171,0.0,0.0,0.0,37.0,41.0,70.38477631085021,17.1
172,1.0,1.0,1.4142135623730951,38.0,42.0,71.7989898732233,17.2
173,1.0,0.0,1.0,39.0,42.0,72.7989898732233,17.3
174,1.0,1.0,1.4142135623730951,40.0,43.0,74.2132034355964,17.4
175,1.0,1.0,1.4142135623730951,41.0,44.0,75.62741699796949,17.5
176,0.0,0.0,0.0,41.0,44.0,75.62741699796949,17.6
177,1.0,1.0,1.4142135623730951,42.0,45.0,77.04163056034258,17.7
178,0.0,0.0,0.0,42.0,45.0,77.04163056034258,17.8
179,1.0,0.0,1.0,43.0,45.0,78.04163056034258,17.9
180,0.0,0.0,0.0,43.0,45.0,78.04163056034258,18.0
181,0.0,0.0,0.0,43.0,45.0,78.04163056034258,18.1
182,0.0,0.0,0.0,43.0,45.0,78.04163056034258,18.2
183,0.0,0.0,0.0,43.0,45.0,78.04163056034258,18.3
184,0.0,1.0,1.0,43.0,46.0,79.04163056034258,18.4
185,0.0,0.0,0.0,43.0,46.0,79.04163056034258,18.5
186,0.0,1.0,1.0,43.0,47.0,80.04163056034258,18.6
187,0.0,0.0,0.0,43.0,47.0,80.04163056034258,18.7
188,0.0,1.0,1.0,43.0,48.0,81.04163056034258,18.8
189,0.0,1.0,1.0,43.0,49.0,82.04163056034258,18.9
190,1.0,0.0,1.0,44.0,49.0,83.04163056034258,19.0
191,1.0,0.0,1.0,45.0,49.0,84.04163056034258,19.1
192,0.0,1.0,1.0,45.0,50.0,85.04163056034258,19.2
193,1.0,1.0,1.4142135623730951,46.0,51.0,86.45584412271567,19.3
194,1.0,0.0,1.0,47.0,51.0,87.45584412271567,19.4
195,1.0,1.0,1.4142135623730951,48.0,52.0,88.87005768508877,19.5
196,0.0,0.0,0.0,48.0,52.0,88.87005768508877,19.6
197,0.0,0.0,0.0,48.0,52.0,88.87005768508877,19.7
198,0.0,0.0,0.0,48.0,52.0,88.87005768508877,19.8
199,0.0,0.0,0.0,48.0,52.0,88.87005768508877,19.9
200,0.0,0.0,0.0,48.0,52.0,88.87005768508877,20.0
201,1.0,0.0,1.0,49.0,52.0,89.87005768508877,20.1
202,0.0,0.0,0.0,49.0,52.0,89.87005768508877,20.2
203,1.0,0.0,1.0,50.0,52.0,90.87005768508877,20.3
204,0.0,0.0,0.0,50.0,52.0,90.87005768508877,20.4
205,1.0,0.0,1.0,51.0,52.0,91.87005768508877,20.5
206,0.0,0.0,0.0,51.0,52.0,91.87005768508877,20.6
207,0.0,1.0,1.0,51.0,53.0,92.87005768508877,20.7
208,1.0,0.0,1.0,52.0,53.0,93.87005768508877,20.8
209,1.0,1.0,1.4142135623730951,53.0,54.0,95.28427124746186,20.9
210,0.0,1.0,1.0,53.0,55.0,96.28427124746186,21.0
211,1.0,0.0,1.0,54.0,55.0,97.28427124746186,21.1
212,1.0,0.0,1.0,55.0,55.0,98.28427124746186,21.2
213,0.0,1.0,1.0,55.0,56.0,99.28427124746186,21.3
214,0.0,0.0,0.0,55.0,56.0,99.28427124746186,21.4
215,0.0,0.0,0.0,55.0,56.0,99.28427124746186,21.5
216,0.0,1.0,1.0,55.0,57.0,100.28427124746186,21.6
217,0.0,0.0,0.0,55.0,57.0,100.28427124746186,21.7
218,0.0,0.0,0.0,55.0,57.0,100.28427124746186,21.8
219,1.0,0.0,1.0,56.0,57.0,101.28427124746186,21.9
220,1.0,0.0,1.0,57.0,57.0,102.28427124746186,22.0
221,0.0,0.0,0.0,57.0,57.0,102.28427124746186,22.1
222,0.0,0.0,0.0,57.0,57.0,102.28427124746186,22.2
223,0.0,0.0,0.0,57.0,57.0,102.28427124746186,22.3
224,1.0,0.0,1.0,58.0,57.0,103.28427124746186,22.4
225,1.0,0.0,1.0,59.0,57.0,104.28427124746186,22.5
226,0.0,0.0,0.0,59.0,57.0,104.28427124746186,22.6
227,1.0,0.0,1.0,60.0,57.0,105.28427124746186,22.7
228,1.0,0.0,1.0,61.0,57.0,106.28427124746186,22.8
229,1.0,0.0,1.0,62.0,57.0,107.28427124746186,22.9
230,0.0,0.0,0.0,62.0,57.0,107.28427124746186,23.0
231,0.0,0.0,0.0,62.0,57.0,107.28427124746186,23.1
232,0.0,0.0,0.0,62.0,57.0,107.28427124746186,23.2
233,1.0,1.0,1.4142135623730951,63.0,58.0,108.69848480983495,23.3
234,0.0,0.0,0.0,63.0,58.0,108.69848480983495,23.4
235,1.0,1.0,1.4142135623730951,64.0,59.0,110.11269837220804,23.5
236,0.0,0.0,0.0,64.0,59.0,110.11269837220804,23.6
237,0.0,0.0,0.0,64.0,59.0,110.11269837220804,23.7
238,0.0,0.0,0.0,64.0,59.0,110.11269837220804,23.8
239,0.0,0.0,0.0,64.0,59.0,110.11269837220804,23.9
240,0.0,0.0,0.0,64.0,59.0,110.11269837220804,24.0
241,0.0,0.0,0.0,64.0,59.0,110.11269837220804,24.1
242,0.0,0.0,0.0,64.0,59.0,110.11269837220804,24.2
243,0.0,0.0,0.0,64.0,59.0,110.11269837220804,24.3
244,0.0,0.0,0.0,64.0,59.0,110.11269837220804,24.4
245,1.0,0.0,1.0,65.0,59.0,111.11269837220804,24.5
246,0.0,0.0,0.0,65.0,59.0,111.11269837220804,24.6
247,0.0,0.0,0.0,65.0,59.0,111.11269837220804,24.7
248,1.0,1.0,1.4142135623730951,66.0,60.0,112.52691193458114,24.8
249,1.0,1.0,1.4142135623730951,67.0,61.0,113.94112549695423,24.9
250,0.0,0.0,0.0,67.0,61.0,113.94112549695423,25.0
251,0.0,0.0,0.0,67.0,61.0,113.94112549695423,25.1
252,0.0,1.0,1.0,67.0,62.0,114.94112549695423,25.2
253,0.0,1.0,1.0,67.0,63.0,115.94112549695423,25.3
254,0.0,0.0,0.0,67.0,63.0,115.94112549695423,25.4
255,0.0,0.0,0.0,67.0,63.0,115.94112549695423,25.5
256,0.0,0.0,0.0,67.0,63.0,115.94112549695423,25.6
257,1.0,1.0,1.4142135623730951,68.0,64.0,117.35533905932732,25.7
258,1.0,1.0,1.4142135623730951,69.0,65.0,118.76955262170041,25.8
259,1.0,1.0,1.4142135623730951,70.0,66.0,120.1837661840735,25.9
260,0.0,0.0,0.0,70.0,66.0,120.1837661840735,26.0
261,1.0,1.0,1.4142135623730951,71.0,67.0,121.5979797464466,26.1
262,0.0,1.0,1.0,71.0,68.0,122.5979797464466,26.2
263,0.0,0.0,0.0,71.0,68.0,122.5979797464466,26.3
264,0.0,1.0,1.0,71.0,69.0,123.5979797464466,26.4
265,0.0,0.0,0.0,71.0,69.0,123.5979797464466,26.5
266,0.0,0.0,0.0,71.0,69.0,123.5979797464466,26.6
267,1.0,1.0,1.4142135623730951,72.0,70.0,125.01219330881969,26.7
268,0.0,0.0,0.0,72.0,70.0,125.01219330881969,26.8
269,1.0,0.0,1.0,73.0,70.0,126.01219330881969,26.9
270,0.0,1.0,1.0,73.0,71.0,127.01219330881969,27.0
271,0.0,0.0,0.0,73.0,71.0,127.01219330881969,27.1
272,0.0,1.0,1.0,73.0,72.0,128.0121933088197,27.2
273,0.0,0.0,0.0,73.0,72.0,128.0121933088197,27.3
274,0.0,0.0,0.0,73.0,72.0,128.0121933088197,27.4
275,0.0,0.0,0.0,73.0,72.0,128.0121933088197,27.5
276,0.0,0.0,0.0,73.0,72.0,128.0121933088197,27.6
277,0.0,0.0,0.0,73.0,72.0,128.0121933088197,27.7
278,0.0,0.0,0.0,73.0,72.0,128.0121933088197,27.8
279,0.0,0.0,0.0,73.0,72.0,128.0121933088197,27.9
280,0.0,0.0,0.0,73.0,72.0,128.0121933088197,28.0
281,0.0,0.0,0.0,73.0,72.0,128.0121933088197,28.1
282,0.0,0.0,0.0,73.0,72.0,128.0121933088197,28.2
283,0.0,0.0,0.0,73.0,72.0,128.0121933088197,28.3
284,0.0,0.0,0.0,73.0,72.0,128.0121933088197,28.4
285,0.0,0.0,0.0,73.0,72.0,128.0121933088197,28.5
286,0.0,0.0,0.0,73.0,72.0,128.0121933088197,28.6
287,0.0,1.0,1.0,73.0,73.0,129.0121933088197,28.7
288,0.0,1.0,1.0,73.0,74.0,130.0121933088197,28.8
289,0.0,0.0,0.0,73.0,74.0,130.0121933088197,28.9
290,0.0,0.0,0.0,73.0,74.0,130.0121933088197,29.0
291,1.0,0.0,1.0,74.0,74.0,131.0121933088197,29.1
292,1.0,0.0,1.0,75.0,74.0,132.0121933088197,29.2
293,0.0,0.0,0.0,75.0,74.0,132.0121933088197,29.3
294,0.0,0.0,0.0,75.0,74.0,132.0121933088197,29.4
295,0.0,0.0,0.0,75.0,74.0,132.0121933088197,29.5
296,0.0,0.0,0.0,75.0,74.0,132.0121933088197,29.6
297,0.0,0.0,0.0,75.0,74.0,132.0121933088197,29.7
298,0.0,0.0,0.0,75.0,74.0,132.0121933088197,29.8
299,0.0,0.0,0.0,75.0,74.0,132.0121933088197,29.9
300,0.0,0.0,0.0,75.0,74.0,132.0121933088197,30.0
301,0.0,0.0,0.0,75.0,74.0,132.0121933088197,30.1
302,0.0,0.0,0.0,75.0,74.0,132.0121933088197,30.2
303,0.0,0.0,0.0,75.0,74.0,132.0121933088197,30.3
304,0.0,0.0,0.0,75.0,74.0,132.0121933088197,30.4
305,0.0,0.0,0.0,75.0,74.0,132.0121933088197,30.5
306,0.0,0.0,0.0,75.0,74.0,132.0121933088197,30.6
307,0.0,0.0,0.0,75.0,74.0,132.0121933088197,30.7
308,1.0,0.0,1.0,76.0,74.0,133.0121933088197,30.8
309,1.0,0.0,1.0,77.0,74.0,134.0121933088197,30.9
310,0.0,0.0,0.0,77.0,74.0,134.0121933088197,31.0
311,0.0,0.0,0.0,77.0,74.0,134.0121933088197,31.1
312,0.0,0.0,0.0,77.0,74.0,134.0121933088197,31.2
313,0.0,1.0,1.0,77.0,75.0,135.0121933088197,31.3
314,0.0,0.0,0.0,77.0,75.0,135.0121933088197,31.4
315,0.0,0.0,0.0,77.0,75.0,135.0121933088197,31.5
316,0.0,0.0,0.0,77.0,75.0,135.0121933088197,31.6
317,1.0,0.0,1.0,78.0,75.0,136.0121933088197,31.7
318,1.0,1.0,1.4142135623730951,79.0,76.0,137.4264068711928,31.8
319,0.0,1.0,1.0,79.0,77.0,138.4264068711928,31.9
320,0.0,1.0,1.0,79.0,78.0,139.4264068711928,32.0
321,0.0,0.0,0.0,79.0,78.0,139.4264068711928,32.1
322,0.0,0.0,0.0,79.0,78.0,139.4264068711928,32.2
323,0.0,1.0,1.0,79.0,79.0,140.4264068711928,32.3
